iter	Passed	Remaining
0	435	652731
1	682	511455
2	1000	499219
3	1389	519619
4	1686	504171
5	1940	483183
6	2246	479181
7	2524	470875
8	2861	474103
9	3144	468555
10	3335	451462
11	3602	446700
12	3864	442006
13	4063	431280
14	4382	433869
15	4686	434635
16	4911	428451
17	5125	421967
18	5413	421954
19	5769	426950
20	6013	423489
21	6263	420823
22	6586	422937
23	6870	422507
24	7216	425794
25	7500	425212
26	7762	423477
27	7953	418143
28	8186	415243
29	8384	410861
30	8655	410169
31	8850	406005
32	9080	403658
33	9269	399675
34	9482	396902
35	9793	398258
36	9981	394659
37	10207	392710
38	10401	389666
39	10642	388454
40	10834	385554
41	11050	383624
42	11269	381837
43	11517	381138
44	11770	380564
45	11961	378076
46	12220	377801
47	12420	375713
48	12703	376166
49	12912	374449
50	13161	373949
51	13338	371435
52	13553	370022
53	13812	369874
54	14011	368115
55	14242	367255
56	14426	365227
57	14632	363802
58	14926	364552
59	15097	362351
60	15378	362770
61	15575	361240
62	15838	361276
63	16064	360448
64	16263	359055
65	16494	358389
66	16709	357384
67	17127	360677
68	17457	362050
69	17742	362445
70	18053	363362
71	18265	362270
72	18523	362102
73	18809	362462
74	19087	362669
75	19299	361605
76	19562	361518
77	19763	360298
78	20080	361194
79	20353	361269
80	20602	360924
81	20784	359418
82	21036	359147
83	21238	358022
84	21468	357385
85	21661	356157
86	21917	355967
87	22130	355091
88	22351	354354
89	22605	354152
90	22800	353035
91	23054	352836
92	23243	351656
93	23434	350526
94	23641	349643
95	23868	349080
96	24103	348624
97	24350	348356
98	24631	348566
99	24807	347311
100	25024	346627
101	25396	348086
102	25605	347291
103	25826	346674
104	26037	345929
105	26248	345190
106	26428	344067
107	26667	343713
108	26811	342157
109	27012	341340
110	27253	341040
111	27445	340129
112	27675	339703
113	27958	339917
114	28245	340175
115	28406	338922
116	28634	338474
117	28883	338280
118	29060	337244
119	29365	337699
120	29621	337589
121	29877	337464
122	30050	336415
123	30291	336142
124	30487	335363
125	30671	334461
126	30897	334038
127	31079	333134
128	31315	332820
129	31494	331900
130	31685	331125
131	31884	330440
132	32104	329974
133	32269	328951
134	32561	329228
135	32757	328537
136	33139	329700
137	33530	330926
138	33772	330677
139	33988	330170
140	34223	329853
141	34461	329570
142	34636	328682
143	34833	328015
144	35049	327530
145	35238	326804
146	35469	326464
147	35687	326007
148	35881	325342
149	36181	325636
150	36404	325227
151	36672	325228
152	36842	324361
153	37034	323692
154	37397	324517
155	37632	324214
156	37914	324327
157	38107	323673
158	38333	323307
159	38520	322611
160	38781	322537
161	39016	322243
162	39247	321923
163	39415	321092
164	39636	320698
165	39922	320822
166	40101	320087
167	40330	319759
168	40590	319682
169	40876	319800
170	41128	319647
171	41359	319334
172	41548	318700
173	41738	318073
174	41987	317907
175	42149	317078
176	42339	316468
177	42557	316071
178	42725	315306
179	42954	314998
180	43110	314157
181	43282	313441
182	43530	313280
183	43694	312512
184	43873	311859
185	44098	311535
186	44278	310898
187	44449	310197
188	44695	310033
189	44861	309307
190	45092	309039
191	45310	308674
192	45694	309443
193	45924	309158
194	46102	308528
195	46383	308594
196	46648	308543
197	46976	308903
198	47181	308458
199	47464	308519
200	47713	308357
201	47961	308187
202	48136	307552
203	48375	307327
204	48615	307110
205	48830	306734
206	49079	306565
207	49267	306026
208	49667	306795
209	50012	307217
210	50254	307002
211	50460	306571
212	50718	306453
213	51026	306638
214	51238	306241
215	51491	306089
216	51729	305848
217	51912	305284
218	52200	305334
219	52383	304774
220	52582	304310
221	52826	304107
222	53005	303534
223	53334	303815
224	53505	303195
225	53721	302835
226	53893	302232
227	54097	301808
228	54357	301696
229	54523	301062
230	54751	300777
231	54939	300272
232	55102	299635
233	55304	299213
234	55567	299120
235	55788	298801
236	55984	298349
237	56159	297786
238	56339	297254
239	56626	297290
240	56838	296926
241	57034	296486
242	57245	296122
243	57442	295687
244	57703	295585
245	57907	295188
246	58094	294704
247	58265	294148
248	58462	293723
249	58765	293829
250	59063	293905
251	59291	293634
252	59467	293108
253	59895	293815
254	60101	293435
255	60301	293028
256	60464	292441
257	60708	292249
258	60963	292109
259	61156	291669
260	61346	291221
261	61535	290766
262	61802	290684
263	62086	290679
264	62268	290194
265	62486	289880
266	62690	289503
267	63067	289923
268	63288	289623
269	63477	289177
270	63732	289032
271	63932	288634
272	64214	288612
273	64417	288233
274	64656	288017
275	64867	287671
276	65066	287276
277	65353	287275
278	65573	286972
279	65856	286944
280	66075	286638
281	66382	286715
282	66630	286532
283	66834	286166
284	67052	285856
285	67248	285453
286	67669	286002
287	67885	285684
288	68085	285301
289	68298	284969
290	68520	284678
291	68813	284679
292	69006	284268
293	69208	283897
294	69416	283548
295	69741	283676
296	69957	283362
297	70158	282990
298	70363	282629
299	70575	282300
300	70928	282534
301	71133	282179
302	71330	281790
303	71525	281396
304	71778	281229
305	72089	281291
306	72352	281161
