iter	Logloss	Accuracy
0	0.6765630745	0.7874015748
1	0.6608212753	0.8042744657
2	0.6467040727	0.8031496063
3	0.6340889939	0.8031496063
4	0.6216002538	0.8031496063
5	0.6099279678	0.8042744657
6	0.5985244099	0.8065241845
7	0.5892429845	0.8065241845
8	0.5800813174	0.8065241845
9	0.5714096245	0.8065241845
10	0.5631709938	0.8042744657
11	0.5567875403	0.8031496063
12	0.5494014575	0.8031496063
13	0.5427154124	0.8031496063
14	0.5356137594	0.8042744657
15	0.5290660259	0.8042744657
16	0.5234704179	0.8042744657
17	0.5183140709	0.8053993251
18	0.5140698237	0.8053993251
19	0.5094218331	0.8053993251
20	0.5068731206	0.8020247469
21	0.5021101409	0.8042744657
22	0.4982591323	0.8042744657
23	0.4956356191	0.8020247469
24	0.4920217917	0.8042744657
25	0.4894122743	0.8042744657
26	0.4863806008	0.8031496063
27	0.4845967379	0.8042744657
28	0.4815461757	0.8042744657
29	0.4794400485	0.8042744657
30	0.478790816	0.8065241845
31	0.4748274835	0.811023622
32	0.4732514092	0.8132733408
33	0.4717580755	0.8121484814
34	0.4706029465	0.816647919
35	0.4696497863	0.8143982002
36	0.4691092421	0.8132733408
37	0.4681232927	0.8155230596
38	0.4655148767	0.8155230596
39	0.4630562091	0.816647919
40	0.4615910595	0.8177727784
41	0.459992852	0.8177727784
42	0.45912943	0.816647919
43	0.4581606949	0.8143982002
44	0.4547395429	0.8155230596
45	0.4537384754	0.8143982002
46	0.4526849279	0.8143982002
47	0.4512522188	0.816647919
48	0.4499986848	0.816647919
49	0.4488526536	0.8155230596
50	0.4478282871	0.8177727784
51	0.4475935427	0.8177727784
52	0.4470436085	0.8155230596
53	0.4456431763	0.8177727784
54	0.4440329582	0.816647919
55	0.4435250758	0.8177727784
56	0.4415883243	0.8200224972
57	0.4395917233	0.8177727784
58	0.4381361687	0.816647919
59	0.4376072836	0.8188976378
60	0.4373261526	0.8200224972
61	0.4362692785	0.8200224972
62	0.4356059736	0.8200224972
63	0.4353989243	0.8200224972
64	0.4336534811	0.8200224972
65	0.4330551974	0.8188976378
66	0.4322805839	0.8177727784
67	0.432250811	0.8177727784
68	0.4319028293	0.8188976378
69	0.4317461825	0.8188976378
70	0.4315667651	0.8188976378
71	0.430936948	0.8188976378
72	0.4306775149	0.8200224972
73	0.4293871548	0.816647919
74	0.4278692025	0.8143982002
75	0.4275468463	0.8177727784
76	0.4271056707	0.816647919
77	0.4269628264	0.8177727784
78	0.4267524166	0.816647919
