iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	231	312	231	340	231	312	340
1	231	312	231	340	231	312	340
2	218	269	218	340	218	269	340
3	218	269	218	340	218	269	340
4	218	269	218	340	218	269	340
5	221	280	221	340	221	280	340
6	220	274	220	340	220	274	340
7	218	269	218	340	218	269	340
8	217	267	217	340	217	267	340
9	217	266	217	340	217	266	340
10	217	266	217	340	217	266	340
11	217	267	217	340	217	267	340
12	220	274	220	340	220	274	340
13	217	267	217	340	217	267	340
14	217	267	217	340	217	267	340
15	217	267	217	340	217	267	340
16	217	267	217	340	217	267	340
17	225	279	225	340	225	279	340
18	225	279	225	340	225	279	340
19	225	279	225	340	225	279	340
20	225	279	225	340	225	279	340
21	224	278	224	340	224	278	340
22	225	279	225	340	225	279	340
23	225	279	225	340	225	279	340
24	225	279	225	340	225	279	340
25	225	279	225	340	225	279	340
26	225	280	225	340	225	280	340
27	224	278	224	340	224	278	340
28	224	278	224	340	224	278	340
29	225	279	225	340	225	279	340
30	225	279	225	340	225	279	340
31	220	271	220	340	220	271	340
32	220	271	220	340	220	271	340
33	218	268	218	340	218	268	340
34	218	268	218	340	218	268	340
35	218	268	218	340	218	268	340
36	221	272	221	340	221	272	340
37	221	272	221	340	221	272	340
38	218	268	218	340	218	268	340
39	221	272	221	340	221	272	340
40	218	268	218	340	218	268	340
41	221	272	221	340	221	272	340
42	221	272	221	340	221	272	340
43	221	272	221	340	221	272	340
44	221	272	221	340	221	272	340
45	218	268	218	340	218	268	340
46	218	268	218	340	218	268	340
47	218	268	218	340	218	268	340
48	217	267	217	340	217	267	340
49	217	267	217	340	217	267	340
50	217	267	217	340	217	267	340
51	217	267	217	340	217	267	340
52	217	267	217	340	217	267	340
53	217	267	217	340	217	267	340
54	217	267	217	340	217	267	340
55	217	267	217	340	217	267	340
56	217	267	217	340	217	267	340
57	217	267	217	340	217	267	340
58	217	267	217	340	217	267	340
59	217	267	217	340	217	267	340
60	217	267	217	340	217	267	340
61	217	267	217	340	217	267	340
62	212	254	212	340	212	254	340
63	212	254	212	340	212	254	340
64	212	254	212	340	212	254	340
65	212	254	212	340	212	254	340
66	212	254	212	340	212	254	340
67	217	267	217	340	217	267	340
68	212	254	212	340	212	254	340
69	212	254	212	340	212	254	340
70	212	254	212	340	212	254	340
71	212	254	212	340	212	254	340
72	212	254	212	340	212	254	340
73	212	254	212	340	212	254	340
74	212	254	212	340	212	254	340
75	212	254	212	340	212	254	340
76	212	254	212	340	212	254	340
77	212	254	212	340	212	254	340
78	212	254	212	340	212	254	340
79	217	267	217	340	217	267	340
80	212	254	212	340	212	254	340
81	212	254	212	340	212	254	340
82	212	254	212	340	212	254	340
83	215	257	215	340	215	257	340
84	216	259	216	340	216	259	340
85	216	247	216	340	216	247	340
86	217	248	217	340	217	248	340
87	220	251	220	340	220	251	340
88	220	251	220	340	220	251	340
89	219	250	219	340	219	250	340
90	218	249	218	340	218	249	340
91	219	250	219	340	219	250	340
92	219	250	219	340	219	250	340
93	219	249	219	340	219	249	340
94	219	249	219	340	219	249	340
95	219	249	219	340	219	249	340
96	217	247	217	340	217	247	340
97	215	244	215	340	215	244	340
98	215	244	215	340	215	244	340
99	214	243	214	340	214	243	340
100	215	244	215	340	215	244	340
101	215	244	215	340	215	244	340
102	215	244	215	340	215	244	340
103	215	244	215	340	215	244	340
104	216	245	216	340	216	245	340
105	216	245	216	340	216	245	340
106	216	244	216	340	216	244	340
107	213	239	213	340	213	239	340
108	216	245	216	340	216	245	340
109	213	239	213	340	213	239	340
110	213	239	213	340	213	239	340
111	213	239	213	340	213	239	340
112	213	239	213	340	213	239	340
113	213	239	213	340	213	239	340
114	213	239	213	340	213	239	340
115	213	239	213	340	213	239	340
116	213	239	213	340	213	239	340
117	215	242	215	340	215	242	340
118	215	242	215	340	215	242	340
119	215	242	215	340	215	242	340
120	216	243	216	340	216	243	340
121	216	243	216	340	216	243	340
122	216	243	216	340	216	243	340
123	216	243	216	340	216	243	340
124	216	243	216	340	216	243	340
125	216	243	216	340	216	243	340
126	216	243	216	340	216	243	340
127	216	243	216	340	216	243	340
128	216	243	216	340	216	243	340
129	217	245	217	340	217	245	340
130	216	243	216	340	216	243	340
131	217	245	217	340	217	245	340
132	216	243	216	340	216	243	340
133	216	243	216	340	216	243	340
134	216	243	216	340	216	243	340
135	216	243	216	340	216	243	340
136	216	243	216	340	216	243	340
137	218	246	218	340	218	246	340
138	218	246	218	340	218	246	340
139	217	245	217	340	217	245	340
140	217	245	217	340	217	245	340
141	218	246	218	340	218	246	340
142	217	244	217	340	217	244	340
143	218	246	218	340	218	246	340
144	218	247	218	340	218	247	340
145	218	246	218	340	218	246	340
146	218	246	218	340	218	246	340
147	218	246	218	340	218	246	340
148	219	247	219	340	219	247	340
149	218	245	218	340	218	245	340
150	218	245	218	340	218	245	340
151	218	245	218	340	218	245	340
152	219	247	219	340	219	247	340
153	219	247	219	340	219	247	340
154	219	247	219	340	219	247	340
155	219	247	219	340	219	247	340
156	219	247	219	340	219	247	340
157	218	245	218	340	218	245	340
158	218	245	218	340	218	245	340
159	218	245	218	340	218	245	340
160	218	245	218	340	218	245	340
161	218	245	218	340	218	245	340
162	218	245	218	340	218	245	340
163	219	247	219	340	219	247	340
164	218	245	218	340	218	245	340
165	220	249	220	340	220	249	340
166	220	249	220	340	220	249	340
167	219	248	219	340	219	248	340
168	219	248	219	340	219	248	340
169	219	248	219	340	219	248	340
170	219	248	219	340	219	248	340
171	219	248	219	340	219	248	340
172	219	248	219	340	219	248	340
173	219	248	219	340	219	248	340
174	219	248	219	340	219	248	340
175	219	248	219	340	219	248	340
176	219	248	219	340	219	248	340
177	219	248	219	340	219	248	340
178	219	248	219	340	219	248	340
179	219	248	219	340	219	248	340
180	219	248	219	340	219	248	340
181	219	248	219	340	219	248	340
182	219	248	219	340	219	248	340
183	220	249	220	340	220	249	340
184	220	249	220	340	220	249	340
185	222	251	222	340	222	251	340
186	222	251	222	340	222	251	340
187	222	251	222	340	222	251	340
188	221	250	221	340	221	250	340
189	221	250	221	340	221	250	340
190	222	251	222	340	222	251	340
191	223	252	223	340	223	252	340
192	223	252	223	340	223	252	340
193	223	252	223	340	223	252	340
194	223	252	223	340	223	252	340
195	223	252	223	340	223	252	340
196	223	252	223	340	223	252	340
197	223	252	223	340	223	252	340
198	224	253	224	340	224	253	340
199	224	253	224	340	224	253	340
200	224	253	224	340	224	253	340
201	224	253	224	340	224	253	340
202	224	253	224	340	224	253	340
203	224	253	224	340	224	253	340
204	224	253	224	340	224	253	340
205	224	253	224	340	224	253	340
206	225	254	225	340	225	254	340
207	224	253	224	340	224	253	340
208	225	254	225	340	225	254	340
209	225	254	225	340	225	254	340
210	225	254	225	340	225	254	340
211	225	254	225	340	225	254	340
212	225	254	225	340	225	254	340
213	225	254	225	340	225	254	340
214	225	254	225	340	225	254	340
215	225	254	225	340	225	254	340
216	225	254	225	340	225	254	340
217	225	254	225	340	225	254	340
218	225	254	225	340	225	254	340
219	225	254	225	340	225	254	340
220	225	254	225	340	225	254	340
221	225	254	225	340	225	254	340
222	225	254	225	340	225	254	340
223	225	254	225	340	225	254	340
224	225	254	225	340	225	254	340
225	225	254	225	340	225	254	340
226	225	254	225	340	225	254	340
227	225	254	225	340	225	254	340
228	225	254	225	340	225	254	340
229	225	254	225	340	225	254	340
230	225	254	225	340	225	254	340
231	225	254	225	340	225	254	340
232	225	254	225	340	225	254	340
233	225	254	225	340	225	254	340
234	225	254	225	340	225	254	340
235	225	254	225	340	225	254	340
236	225	254	225	340	225	254	340
237	225	254	225	340	225	254	340
238	225	254	225	340	225	254	340
239	225	254	225	340	225	254	340
240	225	254	225	340	225	254	340
241	225	254	225	340	225	254	340
242	225	254	225	340	225	254	340
243	225	254	225	340	225	254	340
244	225	254	225	340	225	254	340
245	225	254	225	340	225	254	340
246	226	255	226	340	226	255	340
247	225	254	225	340	225	254	340
248	226	255	226	340	226	255	340
249	226	255	226	340	226	255	340
250	226	255	226	340	226	255	340
251	226	255	226	340	226	255	340
252	227	256	227	340	227	256	340
253	231	260	231	340	231	260	340
254	231	260	231	340	231	260	340
255	231	260	231	340	231	260	340
256	231	260	231	340	231	260	340
257	231	260	231	340	231	260	340
