iter	Passed	Remaining
0	47	71502
1	93	70351
2	138	69327
3	177	66324
4	201	60394
5	229	57168
6	261	55737
7	284	53125
8	309	51330
9	339	50520
10	370	50196
11	401	49750
12	434	49643
13	459	48793
14	491	48643
15	510	47355
16	529	46193
17	548	45120
18	564	43972
19	582	43104
20	594	41882
21	619	41602
22	638	41008
23	653	40180
24	672	39660
25	688	39020
26	713	38933
27	743	39077
28	764	38778
29	784	38461
30	807	38253
31	830	38119
32	846	37642
33	865	37317
34	881	36890
35	893	36345
36	904	35765
37	922	35482
38	948	35515
39	967	35303
40	981	34922
41	998	34651
42	1023	34678
43	1046	34631
44	1077	34846
45	1105	34948
46	1136	35130
47	1170	35402
48	1202	35617
49	1228	35624
50	1245	35379
51	1256	34993
52	1274	34784
53	1294	34671
54	1335	35097
55	1374	35436
56	1401	35474
57	1432	35620
58	1462	35707
59	1487	35709
60	1519	35843
61	1559	36165
62	1599	36473
63	1622	36394
64	1645	36329
65	1667	36220
66	1690	36161
67	1705	35917
68	1727	35828
69	1741	35578
70	1759	35418
71	1797	35640
72	1814	35476
73	1839	35443
74	1863	35411
75	1896	35537
76	1921	35503
77	1938	35335
78	1952	35116
79	1974	35047
80	1996	34983
81	2033	35167
82	2055	35087
83	2063	34790
84	2074	34528
85	2091	34392
86	2109	34260
87	2127	34143
88	2146	34037
89	2166	33934
90	2189	33894
91	2210	33833
92	2224	33657
93	2236	33446
94	2246	33231
95	2264	33115
96	2281	32994
97	2297	32863
98	2313	32740
99	2330	32622
100	2347	32515
101	2364	32408
102	2380	32283
103	2411	32371
104	2434	32341
105	2490	32746
106	2543	33116
107	2576	33211
108	2603	33226
109	2626	33192
110	2650	33164
111	2670	33092
112	2682	32925
113	2706	32903
114	2722	32789
115	2741	32707
116	2760	32630
117	2773	32482
118	2783	32303
119	2794	32133
120	2811	32041
121	2827	31936
122	2855	31970
123	2877	31932
124	2897	31872
125	2916	31804
126	2935	31736
127	2953	31656
128	2974	31607
129	2993	31546
130	3012	31480
131	3036	31464
132	3057	31424
133	3070	31297
134	3083	31181
135	3095	31046
136	3113	30972
137	3126	30859
138	3140	30748
139	3155	30650
140	3165	30510
141	3181	30430
142	3200	30369
143	3213	30260
144	3231	30193
145	3259	30232
146	3272	30122
147	3287	30035
148	3301	29939
149	3322	29903
150	3340	29843
151	3359	29792
152	3379	29754
153	3392	29647
154	3426	29729
155	3459	29802
156	3489	29846
157	3514	29854
158	3536	29824
159	3555	29776
160	3570	29696
161	3592	29670
162	3613	29638
163	3636	29627
164	3659	29607
165	3679	29565
166	3701	29547
167	3728	29561
168	3743	29478
169	3760	29424
170	3781	29386
171	3800	29340
172	3822	29322
173	3843	29290
174	3865	29264
175	3883	29214
176	3896	29123
177	3921	29126
178	3946	29123
179	3963	29068
180	3980	29006
181	4008	29026
182	4024	28966
183	4044	28928
184	4064	28889
185	4081	28834
186	4098	28777
187	4112	28703
188	4129	28643
189	4158	28668
190	4173	28605
191	4188	28531
192	4210	28512
193	4236	28521
194	4267	28562
195	4292	28560
196	4320	28576
197	4348	28595
198	4379	28631
199	4408	28658
200	4439	28692
201	4460	28660
202	4492	28704
203	4517	28699
204	4547	28725
205	4575	28744
206	4616	28839
207	4633	28780
208	4643	28680
209	4649	28559
210	4664	28493
211	4680	28438
212	4696	28379
213	4712	28319
214	4731	28278
215	4750	28237
216	4774	28230
217	4801	28235
218	4826	28233
219	4849	28217
220	4880	28245
221	4905	28237
222	4929	28226
223	4950	28202
224	4972	28178
225	4993	28148
226	5012	28109
227	5031	28072
228	5051	28035
229	5064	27962
230	5084	27931
231	5103	27894
232	5118	27835
233	5139	27805
234	5164	27801
235	5190	27799
236	5224	27844
237	5251	27844
238	5272	27815
239	5288	27764
240	5299	27682
241	5320	27659
242	5341	27628
243	5361	27600
244	5383	27577
245	5415	27604
246	5426	27530
247	5448	27506
248	5478	27524
249	5497	27487
250	5516	27450
251	5531	27395
252	5552	27366
253	5572	27338
254	5592	27306
255	5611	27270
256	5632	27241
257	5658	27241
258	5674	27189
259	5693	27155
260	5712	27118
261	5730	27077
262	5747	27032
263	5765	26994
264	5787	26970
265	5806	26934
266	5824	26896
267	5844	26866
268	5866	26845
269	5884	26806
270	5901	26765
271	5919	26724
272	5935	26678
273	5951	26630
274	5976	26620
275	5986	26549
276	6003	26506
277	6018	26455
278	6036	26417
279	6063	26419
280	6081	26383
281	6091	26310
282	6108	26269
283	6126	26233
284	6145	26198
285	6163	26164
286	6180	26123
287	6187	26040
288	6205	26001
289	6222	25963
290	6238	25918
291	6255	25876
292	6285	25891
293	6304	25862
294	6323	25828
295	6337	25779
296	6356	25746
297	6376	25721
298	6404	25723
299	6433	25735
300	6465	25754
301	6487	25735
302	6510	25720
303	6533	25703
304	6552	25672
305	6570	25638
306	6590	25610
307	6607	25571
308	6624	25531
309	6644	25508
310	6662	25473
311	6681	25440
312	6708	25440
313	6730	25421
314	6747	25383
315	6766	25353
316	6785	25321
317	6801	25282
318	6818	25243
319	6837	25213
320	6855	25180
321	6875	25152
322	6893	25120
323	6911	25087
324	6938	25083
325	6955	25047
326	6981	25044
327	7002	25020
328	7020	24989
329	7038	24953
330	7056	24920
331	7073	24885
332	7092	24854
333	7110	24821
334	7137	24822
335	7156	24790
336	7176	24766
337	7194	24735
338	7213	24705
339	7232	24676
340	7251	24645
341	7269	24615
342	7287	24583
343	7306	24553
344	7334	24555
345	7354	24530
346	7372	24496
347	7397	24488
348	7432	24512
349	7462	24521
350	7482	24493
351	7501	24465
352	7519	24434
353	7539	24406
354	7564	24399
355	7585	24374
356	7607	24357
357	7626	24328
358	7645	24298
359	7663	24266
360	7682	24237
361	7701	24211
362	7720	24181
363	7738	24151
364	7767	24153
365	7788	24131
366	7807	24103
367	7826	24074
368	7845	24045
369	7864	24020
370	7883	23989
371	7901	23958
372	7919	23927
373	7937	23897
374	7963	23890
375	8000	23916
376	8019	23887
377	8038	23858
378	8057	23831
379	8075	23800
380	8093	23770
381	8112	23742
382	8131	23715
383	8160	23716
384	8181	23693
385	8198	23662
386	8217	23634
387	8237	23607
388	8256	23579
389	8274	23551
390	8292	23519
391	8311	23492
392	8330	23464
393	8348	23435
394	8368	23410
395	8392	23398
396	8429	23418
397	8459	23423
398	8483	23408
399	8501	23379
400	8520	23352
401	8539	23324
402	8557	23294
403	8580	23276
404	8602	23258
405	8620	23228
406	8638	23199
407	8657	23170
408	8675	23142
409	8694	23113
410	8717	23097
411	8736	23070
412	8754	23041
413	8772	23011
414	8799	23005
415	8820	22984
416	8838	22954
417	8856	22925
418	8874	22896
419	8892	22865
420	8913	22845
421	8932	22817
422	8949	22786
423	8967	22757
424	9013	22798
425	9035	22780
426	9053	22751
427	9072	22722
428	9089	22692
429	9108	22665
430	9127	22638
431	9146	22611
432	9164	22583
433	9182	22555
434	9200	22525
435	9216	22492
436	9243	22485
437	9262	22457
438	9279	22427
439	9298	22401
440	9317	22374
441	9335	22346
442	9353	22316
443	9370	22286
444	9388	22257
445	9423	22268
446	9455	22273
447	9503	22317
448	9552	22360
449	9570	22330
450	9609	22352
451	9628	22323
452	9654	22314
453	9670	22280
454	9688	22250
455	9706	22222
456	9724	22193
457	9742	22165
458	9760	22135
459	9779	22109
460	9797	22082
461	9816	22054
462	9837	22032
463	9860	22015
464	9881	21993
465	9899	21966
466	9917	21938
467	9936	21911
468	9954	21883
469	9973	21856
470	10010	21870
471	10028	21842
472	10055	21832
473	10074	21807
474	10093	21780
475	10113	21756
476	10131	21727
477	10149	21700
478	10167	21671
479	10185	21644
480	10204	21617
481	10224	21593
482	10242	21567
483	10265	21548
484	10287	21529
485	10306	21504
486	10326	21479
487	10344	21451
488	10361	21423
489	10379	21394
490	10397	21367
491	10428	21365
492	10462	21369
493	10501	21385
494	10521	21360
495	10538	21332
496	10557	21305
497	10576	21280
498	10595	21253
499	10613	21226
500	10632	21200
501	10651	21176
502	10670	21149
503	10688	21123
504	10707	21096
505	10734	21087
506	10754	21062
507	10772	21036
508	10790	21008
509	10809	20982
510	10829	20959
511	10847	20931
512	10865	20904
513	10883	20877
514	10900	20848
515	10930	20843
516	10949	20818
517	10967	20791
518	10997	20787
519	11018	20766
520	11037	20741
521	11055	20713
522	11073	20686
523	11091	20659
524	11110	20634
525	11129	20608
526	11154	20594
527	11173	20569
528	11189	20538
529	11207	20511
530	11225	20485
531	11244	20459
532	11262	20433
533	11276	20399
534	11294	20372
535	11312	20344
536	11330	20319
537	11358	20310
538	11377	20284
539	11396	20260
540	11420	20244
541	11451	20241
542	11476	20227
543	11509	20226
544	11528	20202
545	11549	20180
546	11580	20175
547	11601	20154
548	11620	20130
549	11639	20105
550	11657	20078
551	11676	20052
552	11695	20028
553	11717	20007
554	11744	19997
555	11762	19971
556	11781	19946
557	11808	19935
558	11825	19907
559	11843	19880
560	11861	19854
561	11883	19833
562	11901	19808
563	11920	19782
564	11938	19757
565	11956	19730
566	11974	19704
567	12017	19718
568	12038	19697
569	12056	19671
570	12074	19644
571	12092	19617
572	12109	19590
573	12127	19564
574	12146	19540
575	12165	19515
576	12183	19489
577	12201	19463
578	12219	19437
579	12246	19424
580	12264	19399
581	12283	19374
582	12300	19347
583	12319	19322
584	12344	19308
585	12370	19294
586	12390	19272
587	12408	19245
588	12435	19234
589	12471	19235
590	12507	19238
591	12537	19229
592	12560	19210
593	12588	19200
594	12606	19174
595	12625	19149
596	12645	19126
597	12668	19108
598	12687	19084
599	12705	19058
600	12724	19034
601	12744	19010
602	12763	18985
603	12781	18959
604	12799	18934
605	12817	18909
606	12837	18886
607	12866	18876
608	12887	18854
609	12905	18829
610	12924	18805
611	12942	18779
612	12959	18752
613	12976	18725
614	12995	18700
615	13031	18701
616	13053	18681
617	13072	18656
618	13098	18642
619	13118	18619
620	13134	18590
621	13150	18563
622	13169	18538
623	13187	18513
624	13204	18486
625	13222	18460
626	13242	18438
627	13262	18414
628	13285	18396
629	13306	18376
630	13326	18352
631	13345	18328
632	13364	18304
633	13382	18279
634	13400	18253
635	13413	18222
636	13430	18195
637	13453	18176
638	13485	18170
639	13519	18166
640	13549	18157
641	13567	18132
642	13586	18108
643	13605	18084
644	13624	18060
645	13644	18037
646	13666	18017
647	13685	17993
648	13703	17969
649	13722	17944
650	13744	17925
651	13762	17900
652	13781	17876
653	13799	17850
654	13817	17826
655	13836	17801
656	13857	17780
657	13876	17756
658	13893	17731
659	13910	17704
660	13930	17682
661	13954	17664
662	13973	17641
663	13992	17616
664	14010	17591
665	14040	17581
666	14063	17563
667	14082	17539
668	14100	17515
669	14119	17491
670	14145	17476
671	14165	17453
672	14183	17428
673	14201	17404
674	14218	17378
675	14236	17353
676	14255	17329
677	14274	17306
678	14292	17281
679	14311	17257
680	14329	17232
681	14347	17208
682	14374	17194
683	14392	17170
684	14411	17146
685	14429	17121
686	14453	17103
687	14494	17107
688	14527	17100
689	14551	17081
690	14577	17067
691	14599	17047
692	14617	17021
693	14635	16997
694	14654	16974
695	14672	16949
696	14689	16923
697	14709	16901
698	14727	16876
699	14746	16852
700	14777	16843
701	14804	16828
702	14822	16804
703	14840	16780
704	14860	16757
705	14884	16739
706	14902	16714
707	14919	16689
708	14937	16664
709	14955	16640
710	14973	16615
711	14998	16599
712	15018	16576
713	15106	16630
714	15129	16610
715	15148	16586
716	15166	16562
717	15184	16538
718	15209	16521
719	15231	16500
720	15249	16476
721	15268	16452
722	15285	16427
723	15303	16402
724	15321	16377
725	15338	16353
726	15357	16329
727	15375	16304
728	15393	16280
729	15411	16255
730	15436	16239
731	15456	16216
732	15474	16192
733	15492	16167
734	15510	16143
735	15529	16120
736	15560	16109
737	15592	16099
738	15618	16083
739	15643	16066
740	15663	16043
741	15685	16024
742	15703	15999
743	15728	15981
744	15744	15955
745	15762	15931
746	15785	15912
747	15803	15887
748	15825	15867
749	15850	15850
750	15868	15826
751	15886	15802
752	15904	15777
753	15922	15754
754	15941	15730
755	15959	15706
756	15981	15686
757	16000	15662
758	16018	15638
759	16049	15627
760	16069	15604
761	16087	15580
762	16123	15574
763	16147	15555
764	16165	15531
765	16184	15508
766	16202	15484
767	16220	15459
768	16238	15435
769	16261	15416
770	16281	15394
771	16299	15370
772	16319	15347
773	16336	15323
774	16356	15300
775	16374	15277
776	16392	15252
777	16410	15229
778	16428	15205
779	16446	15181
780	16466	15158
781	16493	15143
782	16511	15119
783	16529	15095
784	16558	15082
785	16589	15070
786	16621	15058
787	16643	15038
788	16661	15014
789	16691	15001
790	16710	14978
791	16729	14955
792	16747	14931
793	16766	14908
794	16785	14885
795	16807	14865
796	16827	14842
797	16844	14818
798	16862	14794
799	16883	14772
800	16908	14755
801	16928	14733
802	16947	14710
803	16965	14686
804	16983	14662
805	17001	14638
806	17018	14614
807	17037	14591
808	17054	14567
809	17074	14544
810	17092	14521
811	17110	14497
812	17164	14504
813	17187	14484
814	17206	14461
815	17225	14438
816	17243	14415
817	17263	14393
818	17281	14369
819	17300	14346
820	17322	14326
821	17345	14306
822	17363	14283
823	17383	14261
824	17401	14237
825	17419	14213
826	17435	14189
827	17453	14165
828	17472	14142
829	17490	14119
830	17509	14095
831	17531	14075
832	17554	14055
833	17585	14042
834	17615	14029
835	17646	14016
836	17668	13995
837	17687	13972
838	17704	13948
839	17723	13925
840	17752	13910
841	17774	13890
